Sequence ,EC50
127_0000000,1
1_0000001,0.8
3_0000010,2.8
5_0000100,0.5
9_0001000,1
32_0100000,0.8
118_1000000,1.1
119_0010000,0.9
2_0000011,3.6
4_0000101,0.5
7_0000110,2.9
8_0001001,1.5
11_0001010,2.7
13_0001100,0.6
16_0010001,0.9
18_0010010,2.6
20_0010100,0.7
24_0011000,1.2
31_0100001,1.3
34_0100010,0.4
36_0100100,0.5
40_0101000,0.8
48_0110000,0.9
62_1000001,0.3
64_1000010,4.3
66_1000100,0.6
70_1001000,1.4
78_1010000,1.1
93_1100000,1.1
6_0000111,2.1
10_0001011,4.1
12_0001101,0.8
15_0001110,3.1
17_0010011,2.9
19_0010101,0.8
22_0010110,4.6
23_0011001,1.6
26_0011010,2.8
28_0011100,1.1
33_0100011,2.8
35_0100101,0.6
38_0100110,0.7
39_0101001,1.3
42_0101010,0.4
44_0101100,0.6
47_0110001,0.9
50_0110010,1
52_0110100,0.6
56_0111000,0.8
63_1000011,5
65_1000101,0.9
68_1000110,4.8
69_1001001,2
72_1001010,5.1
74_1001100,0.5
77_1010001,1.7
80_1010010,6.3
82_1010100,0.6
86_1011000,1.3
92_1100001,1.9
95_1100010,3.5
97_1100100,0.7
101_1101000,1.5
108_1110000,0.9
14_0001111,4.2
21_0010111,2.9
25_0011011,4.2
27_0011101,1.1
30_0011110,3.9
37_0100111,3.3
41_0101011,2.4
43_0101101,0.8
46_0101110,0.6
49_0110011,3
51_0110101,0.7
54_0110110,2.6
55_0111001,1.2
58_0111010,0.8
60_0111100,0.8
67_1000111,5.2
71_1001011,3.6
73_1001101,0.9
76_1001110,5.6
79_1010011,7.5
81_1010101,1
84_1010110,4.1
85_1011001,2.1
88_1011010,5.7
90_1011100,0.5
94_1100011,6.1
96_1100101,0.7
99_1100110,4.6
100_1101001,2.3
103_1101010,3.9
105_1101100,0.7
107_1110001,2.1
110_1110010,4.5
112_1110100,0.6
115_1111000,1
29_0011111,6.7
45_0101111,2.3
53_0110111,4.9
57_0111011,3
59_0111101,0.9
61_0111110,2.6
75_1001111,5.8
83_1010111,8.2
87_1011011,6.9
89_1011101,1.2
91_1011110,9.1
98_1100111,5.8
102_1101011,6.5
104_1101101,0.9
106_1101110,4.9
111_1110101,1.1
113_1110110,7.9
114_1111001,4.8
116_1111010,7.8
117_1111100,0.6
124_1110011,6.2
120_1011111,7.4
121_1101111,6
122_1110111,8
123_1111011,7.7
125_1111101,1.3
126_1111110,8.7
129_0111111,3.9
128_1111111,9.1
